Texas Counties,County FIPS_x,Dollars,County FIPS_y,Uninsured Percent,County FIPS_x,White Poverty %,County FIPS_y,Black Poverty %,County FIPS_x,Asian Poverty %,County FIPS_y,Foreign Poverty %,County FIPS_x,Native Poverty %,County FIPS_y,Hispanic Poverty %,County FIPS,Non Hispanic Poverty %
64,"McMullen, Texas",48311.0,63056,48311.0,3.4,48311.0,83.3,48311.0,no data/suppressed,48311.0,no data/suppressed,48311.0,5.6,48311.0,0.7,48311.0,64.3,48311.0,35.7
65,"Parmer, Texas",48369.0,62885,48369.0,2.2,48369.0,78.1,48369.0,1.0,48369.0,0.2,48369.0,24.1,48369.0,0.5,48369.0,64.7,48369.0,35.3
66,"Llano, Texas",48299.0,62839,48299.0,4.2,48299.0,90.2,48299.0,0.6,48299.0,0.4,48299.0,4.2,48299.0,0.9,48299.0,11.3,48299.0,88.7
67,"Reagan, Texas",48383.0,62829,48383.0,6.4,48383.0,50.9,48383.0,2.5,48383.0,1.8,48383.0,14.3,48383.0,no data/suppressed,48383.0,69.4,48383.0,30.6
68,"Roberts, Texas",48393.0,62717,48393.0,no data/suppressed,48393.0,95.9,48393.0,no data/suppressed,48393.0,no data/suppressed,48393.0,1.7,48393.0,0.3,48393.0,13.8,48393.0,86.2
69,"Smith, Texas",48423.0,62518,48423.0,4.9,48423.0,74.2,48423.0,17.0,48423.0,1.8,48423.0,9.3,48423.0,0.4,48423.0,20.1,48423.0,79.9
70,"Stonewall, Texas",48433.0,62273,48433.0,2.1,48433.0,92.0,48433.0,1.0,48433.0,no data/suppressed,48433.0,1.3,48433.0,2.7,48433.0,25.3,48433.0,74.7
71,"Kerr, Texas",48265.0,62204,48265.0,3.7,48265.0,80.4,48265.0,1.4,48265.0,0.8,48265.0,6.8,48265.0,0.4,48265.0,27.9,48265.0,72.1
72,"Bexar, Texas",48029.0,62169,48029.0,5.6,48029.0,64.0,48029.0,7.6,48029.0,3.1,48029.0,13.1,48029.0,0.7,48029.0,60.9,48029.0,39.1
73,"Grayson, Texas",48181.0,62078,48181.0,3.9,48181.0,82.4,48181.0,5.6,48181.0,1.6,48181.0,6.6,48181.0,0.7,48181.0,14.2,48181.0,85.8
74,"Tom Green, Texas",48451.0,62052,48451.0,3.7,48451.0,77.0,48451.0,4.0,48451.0,1.5,48451.0,5.4,48451.0,0.5,48451.0,41.2,48451.0,58.8
75,"Calhoun, Texas",48057.0,61887,48057.0,4.1,48057.0,74.8,48057.0,2.6,48057.0,4.5,48057.0,12.6,48057.0,0.3,48057.0,49.8,48057.0,50.2
76,"Sutton, Texas",48435.0,61538,48435.0,4.1,48435.0,53.6,48435.0,0.1,48435.0,0.1,48435.0,13.1,48435.0,0.7,48435.0,70.2,48435.0,29.8
77,"Franklin, Texas",48159.0,61391,48159.0,6.6,48159.0,83.3,48159.0,4.8,48159.0,no data/suppressed,48159.0,6.8,48159.0,0.1,48159.0,15.3,48159.0,84.7
78,"Hartley, Texas",48205.0,61196,48205.0,0.8,48205.0,80.6,48205.0,7.8,48205.0,0.5,48205.0,8.4,48205.0,0.4,48205.0,27.6,48205.0,72.4
79,"Van Zandt, Texas",48467.0,61121,48467.0,3.7,48467.0,91.6,48467.0,2.9,48467.0,0.4,48467.0,3.5,48467.0,0.7,48467.0,11.8,48467.0,88.2
80,"Schleicher, Texas",48413.0,61094,48413.0,16.4,48413.0,62.8,48413.0,1.2,48413.0,0.5,48413.0,8.0,48413.0,no data/suppressed,48413.0,54.3,48413.0,45.7
81,"Dallam, Texas",48111.0,61069,48111.0,2.5,48111.0,79.1,48111.0,no data/suppressed,48111.0,no data/suppressed,48111.0,28.2,48111.0,0.5,48111.0,47.1,48111.0,52.9
82,"Hunt, Texas",48231.0,61053,48231.0,5.4,48231.0,77.7,48231.0,7.4,48231.0,1.2,48231.0,6.9,48231.0,0.8,48231.0,17.9,48231.0,82.1
83,"La Salle, Texas",48283.0,61042,48283.0,1.5,48283.0,65.2,48283.0,2.1,48283.0,0.1,48283.0,5.8,48283.0,no data/suppressed,48283.0,84.8,48283.0,15.2
84,"Jackson, Texas",48239.0,60807,48239.0,4.3,48239.0,81.2,48239.0,7.5,48239.0,0.7,48239.0,6.9,48239.0,0.1,48239.0,33.7,48239.0,66.3
85,"Lee, Texas",48287.0,60750,48287.0,2.8,48287.0,79.6,48287.0,11.1,48287.0,1.2,48287.0,9.1,48287.0,0.1,48287.0,24.4,48287.0,75.6
86,"Victoria, Texas",48469.0,60598,48469.0,4.6,48469.0,75.3,48469.0,5.8,48469.0,1.3,48469.0,6.5,48469.0,0.6,48469.0,48.0,48469.0,52.0
87,"Rusk, Texas",48401.0,60330,48401.0,6.1,48401.0,73.1,48401.0,16.4,48401.0,0.6,48401.0,7.1,48401.0,0.1,48401.0,17.6,48401.0,82.4
88,"Howard, Texas",48227.0,60260,48227.0,5.4,48227.0,76.8,48227.0,5.5,48227.0,0.9,48227.0,10.5,48227.0,0.8,48227.0,44.0,48227.0,56.0
89,"Madison, Texas",48313.0,59923,48313.0,7.3,48313.0,71.3,48313.0,16.1,48313.0,1.3,48313.0,10.4,48313.0,0.3,48313.0,24.1,48313.0,75.9
90,"Palo Pinto, Texas",48363.0,59796,48363.0,6.9,48363.0,87.9,48363.0,2.5,48363.0,1.0,48363.0,5.9,48363.0,1.1,48363.0,20.3,48363.0,79.7
91,"Fannin, Texas",48147.0,59686,48147.0,4.8,48147.0,86.2,48147.0,5.9,48147.0,0.5,48147.0,4.7,48147.0,0.7,48147.0,12.1,48147.0,87.9
92,"San Patricio, Texas",48409.0,59532,48409.0,4.3,48409.0,80.9,48409.0,2.0,48409.0,1.2,48409.0,4.8,48409.0,0.1,48409.0,58.5,48409.0,41.5
93,"Nueces, Texas",48355.0,59477,48355.0,6.0,48355.0,72.3,48355.0,3.6,48355.0,2.2,48355.0,8.9,48355.0,0.3,48355.0,64.6,48355.0,35.4
94,"Bosque, Texas",48035.0,59328,48035.0,3.8,48035.0,87.2,48035.0,1.8,48035.0,0.7,48035.0,6.4,48035.0,0.4,48035.0,19.3,48035.0,80.7
95,"Motley, Texas",48345.0,59286,48345.0,3.6,48345.0,85.8,48345.0,1.2,48345.0,no data/suppressed,48345.0,0.6,48345.0,no data/suppressed,48345.0,13.4,48345.0,86.6
96,"Montague, Texas",48337.0,59127,48337.0,7.0,48337.0,92.4,48337.0,0.7,48337.0,no data/suppressed,48337.0,3.6,48337.0,0.4,48337.0,11.4,48337.0,88.6
97,"Grimes, Texas",48185.0,59086,48185.0,4.9,48185.0,70.8,48185.0,14.7,48185.0,0.4,48185.0,6.5,48185.0,0.3,48185.0,24.5,48185.0,75.5
98,"Kinney, Texas",48271.0,58925,48271.0,1.5,48271.0,94.1,48271.0,no data/suppressed,48271.0,no data/suppressed,48271.0,12.7,48271.0,0.1,48271.0,65.7,48271.0,34.3
99,"Delta, Texas",48119.0,58705,48119.0,4.2,48119.0,83.6,48119.0,8.5,48119.0,0.3,48119.0,0.8,48119.0,no data/suppressed,48119.0,8.9,48119.0,91.1
100,"Frio, Texas",48163.0,58456,48163.0,5.1,48163.0,72.2,48163.0,4.1,48163.0,1.1,48163.0,18.3,48163.0,0.2,48163.0,79.8,48163.0,20.2
101,"Wood, Texas",48499.0,58418,48499.0,4.6,48499.0,86.6,48499.0,4.7,48499.0,0.7,48499.0,4.1,48499.0,0.2,48499.0,10.5,48499.0,89.5
102,"Coryell, Texas",48099.0,58414,48099.0,6.1,48099.0,67.3,48099.0,14.2,48099.0,2.8,48099.0,5.8,48099.0,0.8,48099.0,19.3,48099.0,80.7
103,"Upton, Texas",48461.0,58333,48461.0,5.2,48461.0,42.7,48461.0,3.8,48461.0,0.5,48461.0,9.2,48461.0,0.5,48461.0,56.3,48461.0,43.7
104,"Harrison, Texas",48203.0,57996,48203.0,6.6,48203.0,69.4,48203.0,20.0,48203.0,0.8,48203.0,4.9,48203.0,0.3,48203.0,13.7,48203.0,86.3
105,"Bell, Texas",48027.0,57932,48027.0,7.7,48027.0,57.8,48027.0,23.7,48027.0,3.5,48027.0,7.7,48027.0,0.6,48027.0,25.8,48027.0,74.2
106,"DeWitt, Texas",48123.0,57873,48123.0,6.3,48123.0,62.3,48123.0,8.1,48123.0,0.1,48123.0,3.0,48123.0,1.4,48123.0,36.2,48123.0,63.8
