,County,FIPS,Income,Uninsured %,White Poverty %,Black Poverty %,Asian Poverty %,Foreign Poverty %,Native Poverty %,Hispanic Poverty %,County FIPS,Non Hispanic Poverty %,Area,New Case Rate,Case Count,Population,Death Rate,Death Count
96,Montague ,48337.0,59127,7.0,92.4,0.7,no data/suppressed,3.6,0.4,11.4,48337.0,88.6,Texas,468.4,692,98201,180.3,283
97,Grimes ,48185.0,59086,4.9,70.8,14.7,0.4,6.5,0.3,24.5,48185.0,75.5,Texas,442,839,142237,167.3,324
98,Kinney ,48271.0,58925,1.5,94.1,no data/suppressed,no data/suppressed,12.7,0.1,65.7,48271.0,34.3,Texas,335.6,99,18371,160,48
99,Delta ,48119.0,58705,4.2,83.6,8.5,0.3,0.8,no data/suppressed,8.9,48119.0,91.1,Texas,517.2,198,26386,225.4,88
100,Frio ,48163.0,58456,5.1,72.2,4.1,1.1,18.3,0.2,79.8,48163.0,20.2,Texas,346.5,318,100064,161.2,149
101,Wood ,48499.0,58418,4.6,86.6,4.7,0.7,4.1,0.2,10.5,48499.0,89.5,Texas,456.4,1806,225269,162.2,651
102,Coryell ,48099.0,58414,6.1,67.3,14.2,2.8,5.8,0.8,19.3,48099.0,80.7,Texas,479,1544,377881,184.4,559
103,Upton ,48461.0,58333,5.2,42.7,3.8,0.5,9.2,0.5,56.3,48461.0,43.7,Texas,374.7,72,18254,154.2,30
104,Harrison ,48203.0,57996,6.6,69.4,20.0,0.8,4.9,0.3,13.7,48203.0,86.3,Texas,461,1940,332736,153.1,664
105,Bell ,48027.0,57932,7.7,57.8,23.7,3.5,7.7,0.6,25.8,48027.0,74.2,Texas,480.2,7675,1778502,161.3,2487
106,DeWitt ,48123.0,57873,6.3,62.3,8.1,0.1,3.0,1.4,36.2,48123.0,63.8,Texas,423,593,101083,195.4,293
107,Taylor ,48441.0,57811,2.8,73.7,7.8,2.4,6.7,0.3,25.3,48441.0,74.7,Texas,451.2,3325,687605,168,1286
108,Hill ,48217.0,57800,5.5,82.2,6.2,0.9,7.2,0.7,21.6,48217.0,78.4,Texas,465.4,1202,180543,187,500
109,Hopkins ,48223.0,57745,4.5,82.3,7.0,1.0,7.8,0.4,17.5,48223.0,82.5,Texas,468,1111,183542,162.9,404
110,Lavaca ,48285.0,57602,3.2,78.3,6.0,0.4,4.7,0.1,19.7,48285.0,80.3,Texas,422.3,653,100359,156.6,267
111,Ochiltree ,48357.0,57413,1.9,76.4,0.8,0.5,27.7,0.7,55.6,48357.0,44.4,Texas,364.7,173,49537,135.9,62
112,Hutchinson ,48233.0,57288,7.3,80.6,2.2,1.1,5.0,1.8,24.2,48233.0,75.8,Texas,465.4,615,105523,173.2,230
113,Jack ,48237.0,56916,6.6,90.1,4.3,0.6,5.0,no data/suppressed,17.5,48237.0,82.5,Texas,341.8,193,44441,142.8,82
