,County,Alaska Boroughs_x,Income,Uninsured %,White Poverty %,Black Poverty %,Asian Poverty %,Foreign Poverty %,Native Poverty %,Hispanic Poverty %,Non Hispanic Poverty %,Area,Age-Adjusted New Case Rate,Case Count,Population,Age-Adjusted Death Rate,Death Count,Vermont Counties FIPS,Wyoming Counties FIPS,Uninsured,Unnamed: 0.1,FIPS,County FIPS
13,Sheridan ,,62531,,93.6,0.5,1,2.2,1.4,4.3,95.4,Wyoming,402.5,881,151986,142.3,326,,56033.0,2.5,,,
14,Washakie ,,62271,,85.7,no data/suppressed,0.4,1,0.9,12.4,85.6,Wyoming,336.0,203,39663,140.4,92,,56043.0,2.5,,,
15,Hot Springs ,,60805,,94.5,no data/suppressed,no data/suppressed,0.4,2.4,3.7,96.9,Wyoming,379.1,146,22751,175.1,78,,56017.0,2.0,,,
16,Platte ,,59402,,90.5,0.5,1.3,2,0.1,5.6,91.5,Wyoming,392.6,286,42854,136.8,110,,56031.0,0.4,,,
17,Goshen ,,58318,,90.2,0.7,1.1,2,1.3,10.3,89.0,Wyoming,329.6,328,66507,169.9,182,,56015.0,3.6,,,
18,Johnson ,,58020,,92.6,0.7,0.6,1.5,2.9,1.1,96.9,Wyoming,378.0,255,42590,131.5,98,,56019.0,2.6,,,
19,Fremont ,,57887,,71.5,0.5,0.5,1.6,20.2,7.3,92.4,Wyoming,377.1,969,198555,148.5,400,,56013.0,9.1,,,
20,Big Horn ,,56059,,90.2,0.5,0.8,2.9,0.7,9.4,90.6,Wyoming,397.4,340,59045,152.4,134,,56003.0,7.8,,,
21,Albany ,,50733,,87.4,0.9,3.9,6.8,0.7,10.3,90.1,Wyoming,399.8,692,193318,110.4,183,,56001.0,4.3,,,
22,Niobrara ,,48688,,93.0,0.5,1.2,no data/suppressed,2.3,6.3,93.3,Wyoming,291.2,56,11886,99.4,21,,56027.0,4.9,,,
0,St. Johns ,,88794.0,4.7,84.9,5.3,3.1,8.0,0.1,7.6,92.4,Florida,488.8,8839.0,1277049.0,132.8,2464.0,,,,0.0,12109.0,12109.0
1,Nassau ,,77504.0,4.8,88.5,5.5,1.0,4.0,0.3,4.8,95.2,Florida,555.9,3624.0,428811.0,176.4,1167.0,,,,1.0,12089.0,12089.0
2,Santa Rosa ,,77260.0,4.9,83.7,5.9,2.1,5.0,0.4,6.0,94.0,Florida,481.4,5343.0,897936.0,152.7,1675.0,,,,2.0,12113.0,12113.0
3,Collier ,,75543.0,4.2,79.6,6.6,1.5,25.6,0.2,28.5,71.5,Florida,402.0,14261.0,1896727.0,102.6,4288.0,,,,3.0,12021.0,12021.0
4,Clay ,,74059.0,4.8,75.2,11.0,2.9,6.4,0.1,10.5,89.5,Florida,495.0,6446.0,1076468.0,166.3,2088.0,,,,4.0,12019.0,12019.0
