,County,Alaska Boroughs_x,Income,Uninsured %,White Poverty %,Black Poverty %,Asian Poverty %,Foreign Poverty %,Native Poverty %,Hispanic Poverty %,Non Hispanic Poverty %,Area,Age-Adjusted New Case Rate,Case Count,Population,Age-Adjusted Death Rate,Death Count,Vermont Counties FIPS,Wyoming Counties FIPS,Uninsured,Unnamed: 0.1,FIPS,County FIPS
117,Hardeman ,,56400,2.5,81.7,1.3,2.5,7.6,0.8,24.9,75.1,Texas,417.3,120,19789,151.1,46,,,,117.0,48197.0,48197.0
118,Colorado ,,55945,4.5,68.3,12.5,0.7,9.8,0.2,31.0,69.0,Texas,413.7,649,106786,152.3,255,,,,118.0,48089.0,48089.0
119,Freestone ,,55910,2.7,75.5,14.9,0.4,6.8,0.2,16.4,83.6,Texas,441.2,609,98722,172.3,247,,,,119.0,48161.0,48161.0
120,Fisher ,,55862,3.8,83.4,2.1,0.2,2.4,0.5,29.1,70.9,Texas,453,130,19135,141.4,49,,,,120.0,48151.0,48151.0
121,Callahan ,,55820,4.5,92.0,1.0,0.4,1.1,0.1,10.3,89.7,Texas,408.6,417,69793,164.9,171,,,,121.0,48059.0,48059.0
122,Rains ,,55758,3.9,92.1,2.8,1.1,3.7,0.9,9.5,90.5,Texas,439,445,60005,155.9,158,,,,122.0,48379.0,48379.0
123,Comanche ,,55743,7.5,80.2,0.5,0.4,8.5,0.8,28.8,71.2,Texas,406.8,429,67983,127.5,148,,,,123.0,48093.0,48093.0
124,Robertson ,,55709,9.4,70.5,20.5,0.4,4.5,0.1,21.8,78.2,Texas,386.2,460,85469,185.5,223,,,,124.0,48395.0,48395.0
125,Gonzales ,,55698,0.8,65.2,6.8,0.9,11.8,0.1,51.8,48.2,Texas,404.5,515,104142,165.9,220,,,,125.0,48177.0,48177.0
126,Kimble ,,55677,2.1,82.6,1.0,no data/suppressed,4.7,0.5,25.4,74.6,Texas,414,156,21875,184.1,75,,,,126.0,48267.0,48267.0
127,Sherman ,,55667,1.8,79.1,0.1,2.3,22.4,no data/suppressed,45.2,54.8,Texas,248.3,43,15229,157.2,28,,,,127.0,48421.0,48421.0
128,Pecos ,,55652,1.3,73.5,3.9,1.1,13.7,1.1,69.4,30.6,Texas,359,297,78626,127.9,103,,,,128.0,48371.0,48371.0
129,Jones ,,55575,5.8,69.7,12.3,0.3,4.2,0.4,28.1,71.9,Texas,413,487,99372,165.3,193,,,,129.0,48253.0,48253.0
130,Moore ,,55543,2.0,69.8,3.9,4.5,26.0,0.7,57.7,42.3,Texas,376,370,105847,133.8,132,,,,130.0,48341.0,48341.0
131,Sterling ,,55481,no data/suppressed,76.9,0.1,0.9,6.6,0.2,36.4,63.6,Texas,386.4,28,6538,Data not presented,Data not presented,,,,131.0,48431.0,48431.0
132,Upshur ,,55046,4.8,84.8,8.1,0.4,3.6,0.4,9.0,91.0,Texas,469.6,1299,206931,175.2,495,,,,132.0,48459.0,48459.0
133,Bowie ,,54949,4.1,67.7,25.2,1.3,4.4,0.6,8.0,92.0,Texas,430.2,2500,468108,174.6,1035,,,,133.0,48037.0,48037.0
134,Shackelford ,,54896,7.2,93.2,0.2,0.2,2.8,0.6,12.0,88.0,Texas,335.6,79,16456,109.5,29,,,,134.0,48417.0,48417.0
135,Hemphill ,,54867,6.2,77.8,1.6,no data/suppressed,16.2,0.2,35.5,64.5,Texas,305.9,65,19506,148.3,31,,,,135.0,48211.0,48211.0
136,Panola ,,54853,2.8,78.0,13.1,0.8,3.8,0.1,9.1,90.9,Texas,454.7,723,115931,184,305,,,,136.0,48365.0,48365.0
137,Webb ,,54618,5.8,68.3,0.4,0.5,25.2,0.2,95.5,4.5,Texas,331.8,3723,1374233,126,1351,,,,137.0,48479.0,48479.0
138,Cherokee ,,54222,6.6,72.4,13.8,0.5,10.1,1.6,23.9,76.1,Texas,477.4,1577,261704,159.8,545,,,,138.0,48073.0,48073.0
139,Floyd ,,54007,4.5,83.3,4.7,0.2,8.1,0.1,59.3,40.7,Texas,391.8,144,28908,144,60,,,,139.0,48153.0,48153.0
140,Wharton ,,53963,6.0,73.7,13.2,0.4,8.8,0.1,42.6,57.4,Texas,424.7,1111,208359,164.1,444,,,,140.0,48481.0,48481.0
141,Liberty ,,53871,8.1,71.8,9.0,0.5,10.2,0.5,29.3,70.7,Texas,464.4,2140,430863,194.5,854,,,,141.0,48291.0,48291.0
142,Titus ,,53818,5.0,67.1,9.5,0.8,19.5,0.3,44.4,55.6,Texas,396,711,163544,160.1,281,,,,142.0,48449.0,48449.0
143,McLennan ,,53723,4.7,71.9,14.3,1.7,8.4,0.4,27.0,73.0,Texas,441.7,6109,1270225,155.2,2195,,,,143.0,48309.0,48309.0
144,Jefferson ,,53613,5.6,51.0,33.4,3.8,12.1,0.4,21.9,78.1,Texas,420.9,6081,1265682,154.7,2266,,,,144.0,48245.0,48245.0
145,Castro ,,53551,4.1,74.6,1.2,1.3,17.8,0.5,65.5,34.5,Texas,338.5,142,37807,125.5,57,,,,145.0,48069.0,48069.0
146,Reeves ,,53548,6.5,68.0,2.2,1.4,18.0,0.1,75.1,24.9,Texas,321,235,77730,122.8,89,,,,146.0,48389.0,48389.0
147,Mills ,,53483,2.4,84.6,0.5,0.2,6.2,0.1,23.9,76.1,Texas,411.2,168,24386,169.2,77,,,,147.0,48333.0,48333.0
148,Scurry ,,53376,2.9,79.2,4.3,0.6,7.4,0.1,41.6,58.4,Texas,390.4,375,84592,161.8,160,,,,148.0,48415.0,48415.0
149,Wichita ,,53272,4.7,75.5,10.3,2.3,5.8,0.9,20.0,80.0,Texas,472.2,3501,660772,184.5,1402,,,,149.0,48485.0,48485.0
150,Childress ,,53092,7.2,74.3,8.8,0.1,7.5,0.4,34.2,65.8,Texas,393.1,155,36094,170.5,68,,,,150.0,48075.0,48075.0
151,Donley ,,52888,0.1,87.6,6.8,0.2,2.5,0.2,11.8,88.2,Texas,341.5,88,16584,175.3,46,,,,151.0,48129.0,48129.0
152,Live Oak ,,52870,3.6,91.7,2.3,0.7,5.2,0.2,40.7,59.3,Texas,375.5,324,60875,134.7,124,,,,152.0,48297.0,48297.0
153,Polk ,,52826,9.5,79.9,9.0,0.9,5.1,1.4,15.5,84.5,Texas,633.6,2123,250774,236.3,742,,,,153.0,48373.0,48373.0
154,Milam ,,52810,6.3,80.7,9.8,0.9,4.7,0.2,27.1,72.9,Texas,458.6,816,123984,160.2,301,,,,154.0,48331.0,48331.0
155,Crockett ,,52731,1.6,47.3,1.6,no data/suppressed,10.8,no data/suppressed,60.5,39.5,Texas,409.6,92,17609,186.3,41,,,,155.0,48105.0,48105.0
156,Brazos ,,52658,4.4,72.9,11.1,6.0,12.4,0.3,26.4,73.6,Texas,384.3,3333,1131850,125.8,1046,,,,156.0,48041.0,48041.0
157,Angelina ,,52377,6.3,73.8,13.8,1.0,8.3,0.9,22.7,77.3,Texas,454.1,2408,435595,159.6,852,,,,157.0,48005.0,48005.0
158,Goliad ,,52335,3.8,83.2,4.9,0.2,5.5,0.3,36.2,63.8,Texas,390.7,229,37891,161.3,93,,,,158.0,48175.0,48175.0
159,Wheeler ,,52138,3.8,86.0,1.8,0.3,9.1,0.1,25.6,74.4,Texas,453,162,25935,180.8,68,,,,159.0,48483.0,48483.0
160,Runnels ,,52103,2.0,84.2,2.7,0.1,4.5,0.6,35.1,64.9,Texas,440,321,51398,163.4,131,,,,160.0,48399.0,48399.0
161,Young ,,52074,3.3,91.6,1.3,0.2,7.7,0.6,19.4,80.6,Texas,459.6,572,89805,192,254,,,,161.0,48503.0,48503.0
162,Henderson ,,51963,6.3,85.4,5.9,0.7,4.8,0.3,13.6,86.4,Texas,487.3,3017,409844,173.1,1114,,,,162.0,48213.0,48213.0
163,Val Verde ,,51949,4.4,78.6,1.2,0.7,22.2,0.3,82.6,17.4,Texas,410.9,1026,245089,146.9,385,,,,163.0,48465.0,48465.0
164,Uvalde ,,51602,5.0,84.4,1.1,1.1,11.6,0.6,72.3,27.7,Texas,433.4,663,134496,175.2,290,,,,164.0,48463.0,48463.0
165,Lamar ,,51561,3.3,78.6,13.4,0.8,3.6,0.9,8.4,91.6,Texas,472.1,1594,248523,181.3,628,,,,165.0,48277.0,48277.0
166,Aransas ,,51509,8.2,86.8,0.2,1.4,4.1,1.2,28.6,71.4,Texas,476.4,1025,121098,183.1,410,,,,166.0,48007.0,48007.0
167,Camp ,,50947,8.2,69.9,15.6,0.7,9.3,0.2,26.2,73.8,Texas,506.8,425,64692,168.5,145,,,,167.0,48063.0,48063.0
168,El Paso ,,50919,6.8,59.6,3.2,1.3,23.6,0.6,82.9,17.1,Texas,399.7,16384,4184576,131.6,5351,,,,168.0,48141.0,48141.0
169,Refugio ,,50745,5.6,76.1,7.0,0.2,1.5,0.2,51.2,48.8,Texas,403.8,212,35075,163.1,92,,,,169.0,48391.0,48391.0
170,Gray ,,50635,5.0,80.1,5.1,1.4,9.6,1.9,30.0,70.0,Texas,411.5,550,110315,149.9,209,,,,170.0,48179.0,48179.0
171,Navarro ,,50466,5.1,69.4,11.2,2.2,13.2,0.2,28.8,71.2,Texas,435.8,1355,247375,177.8,556,,,,171.0,48349.0,48349.0
172,Knox ,,50163,3.6,77.0,6.1,1.7,8.9,no data/suppressed,35.2,64.8,Texas,434.6,109,18395,216.6,60,,,,172.0,48275.0,48275.0
173,Mitchell ,,50144,2.0,78.2,6.6,no data/suppressed,2.6,0.7,40.7,59.3,Texas,455.7,214,41279,199.1,92,,,,173.0,48335.0,48335.0
174,Lamb ,,50041,3.1,80.6,3.4,0.9,10.2,0.5,56.5,43.5,Texas,390.6,312,65092,147.2,125,,,,174.0,48279.0,48279.0
175,Kleberg ,,49986,5.4,68.6,3.1,1.6,6.1,0.4,73.5,26.5,Texas,459,678,153623,186.8,279,,,,175.0,48273.0,48273.0
176,Lynn ,,49747,3.3,76.3,1.0,0.5,3.9,0.2,46.4,53.6,Texas,458.8,165,29430,207.4,79,,,,176.0,48305.0,48305.0
177,Anderson ,,49736,4.0,67.7,20.8,0.9,6.0,0.4,18.3,81.7,Texas,428.2,1443,289586,225.5,768,,,,177.0,48001.0,48001.0
178,Cass ,,49626,8.8,77.5,17.3,0.7,2.6,0.2,5.0,95.0,Texas,469.3,1046,150012,174.7,424,,,,178.0,48067.0,48067.0
179,Deaf Smith ,,49611,3.6,76.5,0.8,0.9,16.3,0.7,74.4,25.6,Texas,400.7,365,93087,148.9,138,,,,179.0,48117.0,48117.0
180,Karnes ,,49526,3.3,75.1,5.7,0.6,9.9,0.5,56.3,43.7,Texas,372,316,77736,153.7,133,,,,180.0,48255.0,48255.0
181,Limestone ,,49507,4.3,69.2,16.9,1.2,9.5,0.5,22.7,77.3,Texas,418.7,659,116822,167.6,266,,,,181.0,48293.0,48293.0
182,Hockley ,,49241,5.8,77.9,3.3,0.5,8.4,0.4,49.3,50.7,Texas,416.3,529,114930,158,201,,,,182.0,48219.0,48219.0
183,Brown ,,49232,5.2,84.1,3.6,0.6,4.1,0.4,23.1,76.9,Texas,441.3,1160,189025,167.3,467,,,,183.0,48049.0,48049.0
184,Tyler ,,49130,16.2,83.6,10.3,0.6,3.4,0.1,8.3,91.7,Texas,416.2,669,107621,148,255,,,,184.0,48457.0,48457.0
185,Bee ,,48822,7.3,74.1,7.3,0.2,3.1,0.7,59.5,40.5,Texas,420.3,692,163046,162.5,264,,,,185.0,48025.0,48025.0
186,Brewster ,,48679,3.4,80.7,0.3,3.9,12.7,0.8,45.5,54.5,Texas,329.1,222,46154,110.4,84,,,,186.0,48043.0,48043.0
187,Leon ,,48676,6.3,84.8,6.2,1.2,5.5,0.4,15.3,84.7,Texas,410.1,579,86627,173.4,258,,,,187.0,48289.0,48289.0
188,Hale ,,48649,4.5,74.0,4.3,0.4,10.1,0.2,60.6,39.4,Texas,402.3,709,167316,162.3,288,,,,188.0,48189.0,48189.0
189,Matagorda ,,48566,6.3,62.5,10.1,2.2,11.1,0.3,43.8,56.2,Texas,449.9,1032,183954,189.8,446,,,,189.0,48321.0,48321.0
190,Haskell ,,48432,6.8,81.6,5.4,no data/suppressed,4.6,0.3,28.8,71.2,Texas,438.4,176,28553,179.3,86,,,,190.0,48207.0,48207.0
191,Terry ,,47734,8.0,75.6,2.1,no data/suppressed,8.4,0.1,56.2,43.8,Texas,396.7,280,62042,137.4,98,,,,191.0,48445.0,48445.0
192,Jim Wells ,,47629,4.3,90.5,0.8,0.5,3.5,0.7,80.5,19.5,Texas,408.1,934,203982,160.2,375,,,,192.0,48249.0,48249.0
193,Hansford ,,47500,11.3,85.0,0.2,0.1,19.4,0.7,48.6,51.4,Texas,400.3,121,27157,163.4,50,,,,193.0,48195.0,48195.0
194,Throckmorton ,,47500,5.9,92.4,0.4,no data/suppressed,1.6,no data/suppressed,13.3,86.7,Texas,278.5,41,7497,127.4,20,,,,194.0,48447.0,48447.0
195,Nacogdoches ,,47306,7.4,69.7,18.4,1.1,7.6,0.9,20.1,79.9,Texas,375,1329,325401,158,574,,,,195.0,48347.0,48347.0
196,Coleman ,,47216,6.6,82.8,2.6,1.2,6.5,0.8,18.1,81.9,Texas,414.1,293,41406,196.8,143,,,,196.0,48083.0,48083.0
197,Terrell ,,47012,no data/suppressed,88.5,1.4,no data/suppressed,0.8,no data/suppressed,54.1,45.9,Texas,329.6,18,3871,Data not presented,Data not presented,,,,197.0,48443.0,48443.0
198,San Saba ,,46927,3.4,81.6,1.8,0.3,6.1,0.1,30.7,69.3,Texas,318.1,148,30018,136.6,68,,,,198.0,48411.0,48411.0
199,Concho ,,46719,1.3,85.5,2.0,0.5,13.4,0.5,34.6,65.4,Texas,297.7,71,15090,119.5,29,,,,199.0,48095.0,48095.0
200,San Jacinto ,,46678,7.7,78.2,9.5,0.2,6.9,0.5,14.3,85.7,Texas,431.1,936,142868,155.4,347,,,,200.0,48407.0,48407.0
201,McCulloch ,,46552,7.7,79.2,1.0,0.9,5.6,0.3,32.9,67.1,Texas,467.3,282,39849,194.4,126,,,,201.0,48307.0,48307.0
202,Stephens ,,46537,6.5,85.0,3.2,0.9,5.8,no data/suppressed,24.6,75.4,Texas,439.9,284,46788,186.8,129,,,,202.0,48429.0,48429.0
203,Morris ,,46468,5.7,69.0,22.3,1.5,5.4,0.3,10.7,89.3,Texas,494.6,448,61785,194.2,187,,,,203.0,48343.0,48343.0
204,Trinity ,,45392,8.4,83.9,8.5,0.1,4.1,0.2,11.1,88.9,Texas,451.8,555,73445,205,277,,,,204.0,48455.0,48455.0
205,Wilbarger ,,45262,8.7,71.8,7.7,3.2,6.1,1.1,30.3,69.7,Texas,443.4,353,63586,162.2,141,,,,205.0,48487.0,48487.0
206,Potter ,,45096,3.6,72.1,10.2,5.3,15.6,0.8,39.4,60.6,Texas,470,2849,591614,181.5,1086,,,,206.0,48375.0,48375.0
207,Nolan ,,44700,8.0,80.8,4.9,0.4,6.5,0.3,39.0,61.0,Texas,452.2,432,74507,201.8,201,,,,207.0,48353.0,48353.0
208,Hidalgo ,,44666,7.8,64.4,0.6,1.0,26.1,0.2,92.5,7.5,Texas,344,13062,4305684,111.8,4204,,,,208.0,48215.0,48215.0
209,Zavala ,,44573,3.7,74.7,0.4,0.3,5.4,no data/suppressed,93.9,6.1,Texas,353.3,219,59652,162,100,,,,209.0,48507.0,48507.0
210,Shelby ,,44504,6.0,73.0,18.6,0.5,8.0,1.4,18.8,81.2,Texas,401.5,653,126313,181,302,,,,210.0,48419.0,48419.0
211,Maverick ,,44502,7.0,67.3,0.4,0.1,29.5,2.2,95.1,4.9,Texas,398.8,1067,290489,143.6,376,,,,211.0,48323.0,48323.0
212,Jasper ,,44356,13.7,75.8,15.5,0.4,3.1,0.2,7.1,92.9,Texas,479.7,1176,177810,170.4,430,,,,212.0,48241.0,48241.0
213,Crosby ,,44304,4.7,77.4,4.1,0.9,5.9,no data/suppressed,56.7,43.3,Texas,357.4,130,28766,142.2,56,,,,213.0,48107.0,48107.0
214,Walker ,,44104,4.6,68.2,22.9,1.4,7.4,0.2,18.3,81.7,Texas,519,2033,361476,139.9,523,,,,214.0,48471.0,48471.0
215,Real ,,44083,1.4,95.8,1.4,no data/suppressed,1.9,no data/suppressed,23.1,76.9,Texas,327.7,107,17146,172.1,57,,,,215.0,48385.0,48385.0
216,Hamilton ,,44030,3.7,91.9,0.3,0.1,4.9,0.2,13.6,86.4,Texas,423.8,281,42172,216.4,152,,,,216.0,48193.0,48193.0
217,Eastland ,,43953,5.5,88.9,2.2,0.4,4.7,0.5,17.1,82.9,Texas,415.6,566,91444,163.6,233,,,,217.0,48133.0,48133.0
218,Duval ,,43836,10.3,82.8,1.0,no data/suppressed,2.9,0.4,89.3,10.7,Texas,352.3,239,55971,171.3,125,,,,218.0,48131.0,48131.0
219,Baylor ,,43705,3.5,85.4,4.1,1.0,2.8,0.2,14.2,85.8,Texas,466.4,138,17798,254.2,80,,,,219.0,48023.0,48023.0
220,Cottle ,,43654,3.8,73.3,7.1,no data/suppressed,no data/suppressed,0.1,20.6,79.4,Texas,390.8,42,6894,155.8,19,,,,220.0,48101.0,48101.0
221,Houston ,,43644,4.5,67.6,24.9,0.3,3.0,0.3,11.9,88.1,Texas,421.8,734,114710,159.2,296,,,,221.0,48225.0,48225.0
222,Marion ,,43153,11.7,72.2,22.5,0.7,2.0,0.2,4.5,95.5,Texas,484.9,406,49933,148,133,,,,222.0,48315.0,48315.0
223,San Augustine ,,43130,11.4,71.7,22.4,0.1,4.5,0.5,7.6,92.4,Texas,403.1,292,41301,163,127,,,,223.0,48405.0,48405.0
224,Cameron ,,43057,6.0,73.7,0.6,0.7,22.8,0.2,90.0,10.0,Texas,357,7638,2110675,117.3,2544,,,,224.0,48061.0,48061.0
225,Dawson ,,42778,8.2,63.5,8.4,0.2,4.6,0.8,58.6,41.4,Texas,431.1,302,64244,163.7,119,,,,225.0,48115.0,48115.0
226,Kenedy ,,42778,no data/suppressed,84.6,no data/suppressed,0.6,25.4,0.6,98.2,1.8,Texas,Data not presented,Data not presented,Data not presented,Data not presented,Data not presented,,,,226.0,48261.0,48261.0
227,Coke ,,42639,2.8,87.8,1.0,no data/suppressed,4.8,0.2,22.6,77.4,Texas,490.6,135,16489,203.2,67,,,,227.0,48081.0,48081.0
228,Collingsworth ,,42446,4.6,69.7,9.3,0.8,9.3,1.8,31.5,68.5,Texas,297.8,61,14693,125.4,24,,,,228.0,48087.0,48087.0
229,Dickens ,,42241,8.9,83.7,2.1,0.8,8.3,0.3,33.8,66.2,Texas,455.2,68,10908,188.1,31,,,,229.0,48125.0,48125.0
230,King ,,42125,4.9,88.6,no data/suppressed,no data/suppressed,14.8,no data/suppressed,34.9,65.1,Texas,Data not presented,Data not presented,Data not presented,Data not presented,Data not presented,,,,230.0,48269.0,48269.0
231,Hall ,,41467,9.7,71.3,5.7,0.2,11.6,0.6,34.5,65.5,Texas,350.7,86,15124,117.5,32,,,,231.0,48191.0,48191.0
232,Sabine ,,41308,10.2,88.2,5.5,1.5,1.6,0.5,4.8,95.2,Texas,427.9,426,52349,171,184,,,,232.0,48403.0,48403.0
233,Red River ,,40674,4.3,78.4,14.7,0.6,3.1,1.8,7.6,92.4,Texas,439.9,443,60573,169.1,183,,,,233.0,48387.0,48387.0
234,Menard ,,40341,8.6,78.7,0.1,no data/suppressed,5.1,1.7,35.5,64.5,Texas,380.3,81,10538,151.4,35,,,,234.0,48327.0,48327.0
235,Edwards ,,40000,no data/suppressed,98.8,0.1,no data/suppressed,9.1,0.1,45.3,54.7,Texas,340.7,51,9587,187.9,29,,,,235.0,48137.0,48137.0
236,Irion ,,39770,6.9,69.9,5.5,no data/suppressed,3.6,no data/suppressed,26.4,73.6,Texas,413.2,48,7768,150.3,18,,,,236.0,48235.0,48235.0
237,Swisher ,,39685,6.2,79.9,8.1,0.8,13.1,1.3,45.2,54.8,Texas,394.3,182,37016,168.3,85,,,,237.0,48437.0,48437.0
238,Willacy ,,39401,7.9,79.5,0.6,no data/suppressed,13.2,0.6,88.2,11.8,Texas,346.7,385,107093,129.3,146,,,,238.0,48489.0,48489.0
239,Jeff Davis ,,38659,no data/suppressed,90.9,1.8,no data/suppressed,12.7,no data/suppressed,23.9,76.1,Texas,174.4,47,11224,89.3,23,,,,239.0,48243.0,48243.0
240,Briscoe ,,38469,1.8,85.0,2.4,0.9,7.3,no data/suppressed,36.4,63.6,Texas,411.9,52,7536,150.9,23,,,,240.0,48045.0,48045.0
241,Cochran ,,38203,8.4,65.5,6.1,0.1,16.3,0.3,59.7,40.3,Texas,351.1,63,14298,131.7,24,,,,241.0,48079.0,48079.0
242,Newton ,,38116,10.4,74.2,20.5,0.7,0.8,0.5,4.1,95.9,Texas,424.3,428,68942,166.4,169,,,,242.0,48351.0,48351.0
243,Foard ,,37679,10.1,74.8,0.1,0.8,3.6,0.7,21.6,78.4,Texas,541.5,45,5867,189,17,,,,243.0,48155.0,48155.0
244,Jim Hogg ,,37342,4.3,82.9,0.3,no data/suppressed,2.6,no data/suppressed,93.3,6.7,Texas,329.4,97,25936,186.9,55,,,,244.0,48247.0,48247.0
245,Falls ,,35317,8.1,65.4,22.6,1.7,4.9,0.4,24.3,75.7,Texas,413.8,481,86403,171.5,204,,,,245.0,48145.0,48145.0
246,Zapata ,,34406,8.3,68.4,no data/suppressed,1.4,21.1,no data/suppressed,94.8,5.2,Texas,357.9,245,71215,109.5,74,,,,246.0,48505.0,48505.0
247,Culberson ,,34239,12.5,71.9,0.1,0.9,14.2,4.1,82.9,17.1,Texas,287,40,10914,Data not presented,Data not presented,,,,247.0,48109.0,48109.0
248,Starr ,,33334,12.1,70.7,0.1,no data/suppressed,26.6,0.1,96.3,3.7,Texas,392.9,1119,320161,133.6,380,,,,248.0,48427.0,48427.0
249,Hudspeth ,,32404,7.5,46.7,1.4,0.8,42.6,1.0,77.7,22.3,Texas,300.9,75,23437,112.1,28,,,,249.0,48229.0,48229.0
250,Brooks ,,26827,1.7,68.5,1.8,0.1,10.6,no data/suppressed,91.6,8.4,Texas,355.3,150,35499,150.7,70,,,,250.0,48047.0,48047.0
251,Presidio ,,26395,7.8,69.6,no data/suppressed,1.4,43.0,1.9,80.0,20.0,Texas,262.2,124,34041,74.7,40,,,,251.0,48377.0,48377.0
252,Dimmit ,,25000,5.9,60.4,0.2,1.6,10.2,0.2,87.8,12.2,Texas,348.8,198,51162,128.9,78,,,,252.0,48127.0,48127.0
253,Loving ,,no data/suppressed,no data/suppressed,98.8,no data/suppressed,1.2,1.2,no data/suppressed,no data/suppressed,100.0,Texas,Data not presented,Data not presented,Data not presented,Data not presented,Data not presented,,,,253.0,48301.0,48301.0
254,undefined,,,,,,,,,,,,,,,,,,,,254.0,,
