Area,County FIPS,Percent
"Upshur, Texas","48459","9.0"
"Delta, Texas","48119","8.9"
"Armstrong, Texas","48011","8.7"
"Orange, Texas","48361","8.5"
"Lamar, Texas","48277","8.4"
"Archer, Texas","48009","8.4"
"Tyler, Texas","48457","8.3"
"Bowie, Texas","48037","8.0"
"San Augustine, Texas","48405","7.6"
"Red River, Texas","48387","7.6"
"Jasper, Texas","48241","7.1"
"Clay, Texas","48077","6.9"
"Hardin, Texas","48199","6.3"
"Cass, Texas","48067","5.0"
"Sabine, Texas","48403","4.8"
"Marion, Texas","48315","4.5"
"Newton, Texas","48351","4.1"
"Loving, Texas","48301","no data/suppressed"

"undefined"
