,Texas Counties,FIPS,Dollars,Uninsured %,White Poverty %,Black Poverty %,Asian Poverty %,Foreign Poverty %,Native Poverty %,Hispanic Poverty %,Non Hispanic Poverty %
105,"Bell, Texas",48027,57932,7.7,57.8,23.7,3.5,7.7,0.6,25.8,74.2
106,"DeWitt, Texas",48123,57873,6.3,62.3,8.1,0.1,3,1.4,36.2,63.8
107,"Taylor, Texas",48441,57811,2.8,73.7,7.8,2.4,6.7,0.3,25.3,74.7
108,"Hill, Texas",48217,57800,5.5,82.2,6.2,0.9,7.2,0.7,21.6,78.4
109,"Hopkins, Texas",48223,57745,4.5,82.3,7,1,7.8,0.4,17.5,82.5
110,"Lavaca, Texas",48285,57602,3.2,78.3,6,0.4,4.7,0.1,19.7,80.3
111,"Ochiltree, Texas",48357,57413,1.9,76.4,0.8,0.5,27.7,0.7,55.6,44.4
112,"Hutchinson, Texas",48233,57288,7.3,80.6,2.2,1.1,5,1.8,24.2,75.8
113,"Jack, Texas",48237,56916,6.6,90.1,4.3,0.6,5,no data/suppressed,17.5,82.5
114,"Erath, Texas",48143,56691,5.6,86,1.4,1.2,7.9,1.4,21.7,78.3
115,"Gregg, Texas",48183,56566,3.7,67.4,19.5,1.1,8.2,0.1,19.4,80.6
116,"Lubbock, Texas",48303,56529,4.4,74.1,7.3,2.4,6.3,0.7,36.4,63.6
117,"Hardeman, Texas",48197,56400,2.5,81.7,1.3,2.5,7.6,0.8,24.9,75.1
118,"Colorado, Texas",48089,55945,4.5,68.3,12.5,0.7,9.8,0.2,31,69
119,"Freestone, Texas",48161,55910,2.7,75.5,14.9,0.4,6.8,0.2,16.4,83.6
120,"Fisher, Texas",48151,55862,3.8,83.4,2.1,0.2,2.4,0.5,29.1,70.9
121,"Callahan, Texas",48059,55820,4.5,92,1,0.4,1.1,0.1,10.3,89.7
122,"Rains, Texas",48379,55758,3.9,92.1,2.8,1.1,3.7,0.9,9.5,90.5
123,"Comanche, Texas",48093,55743,7.5,80.2,0.5,0.4,8.5,0.8,28.8,71.2
124,"Robertson, Texas",48395,55709,9.4,70.5,20.5,0.4,4.5,0.1,21.8,78.2
125,"Gonzales, Texas",48177,55698,0.8,65.2,6.8,0.9,11.8,0.1,51.8,48.2
126,"Kimble, Texas",48267,55677,2.1,82.6,1,no data/suppressed,4.7,0.5,25.4,74.6
127,"Sherman, Texas",48421,55667,1.8,79.1,0.1,2.3,22.4,no data/suppressed,45.2,54.8
128,"Pecos, Texas",48371,55652,1.3,73.5,3.9,1.1,13.7,1.1,69.4,30.6
129,"Jones, Texas",48253,55575,5.8,69.7,12.3,0.3,4.2,0.4,28.1,71.9
130,"Moore, Texas",48341,55543,2,69.8,3.9,4.5,26,0.7,57.7,42.3
131,"Sterling, Texas",48431,55481,no data/suppressed,76.9,0.1,0.9,6.6,0.2,36.4,63.6
132,"Upshur, Texas",48459,55046,4.8,84.8,8.1,0.4,3.6,0.4,9,91
133,"Bowie, Texas",48037,54949,4.1,67.7,25.2,1.3,4.4,0.6,8,92
134,"Shackelford, Texas",48417,54896,7.2,93.2,0.2,0.2,2.8,0.6,12,88
135,"Hemphill, Texas",48211,54867,6.2,77.8,1.6,no data/suppressed,16.2,0.2,35.5,64.5
136,"Panola, Texas",48365,54853,2.8,78,13.1,0.8,3.8,0.1,9.1,90.9
137,"Webb, Texas",48479,54618,5.8,68.3,0.4,0.5,25.2,0.2,95.5,4.5
138,"Cherokee, Texas",48073,54222,6.6,72.4,13.8,0.5,10.1,1.6,23.9,76.1
139,"Floyd, Texas",48153,54007,4.5,83.3,4.7,0.2,8.1,0.1,59.3,40.7
140,"Wharton, Texas",48481,53963,6,73.7,13.2,0.4,8.8,0.1,42.6,57.4
141,"Liberty, Texas",48291,53871,8.1,71.8,9,0.5,10.2,0.5,29.3,70.7
142,"Titus, Texas",48449,53818,5,67.1,9.5,0.8,19.5,0.3,44.4,55.6
143,"McLennan, Texas",48309,53723,4.7,71.9,14.3,1.7,8.4,0.4,27,73
144,"Jefferson, Texas",48245,53613,5.6,51,33.4,3.8,12.1,0.4,21.9,78.1
145,"Castro, Texas",48069,53551,4.1,74.6,1.2,1.3,17.8,0.5,65.5,34.5
146,"Reeves, Texas",48389,53548,6.5,68,2.2,1.4,18,0.1,75.1,24.9
147,"Mills, Texas",48333,53483,2.4,84.6,0.5,0.2,6.2,0.1,23.9,76.1
148,"Scurry, Texas",48415,53376,2.9,79.2,4.3,0.6,7.4,0.1,41.6,58.4
149,"Wichita, Texas",48485,53272,4.7,75.5,10.3,2.3,5.8,0.9,20,80
150,"Childress, Texas",48075,53092,7.2,74.3,8.8,0.1,7.5,0.4,34.2,65.8
151,"Donley, Texas",48129,52888,0.1,87.6,6.8,0.2,2.5,0.2,11.8,88.2
152,"Live Oak, Texas",48297,52870,3.6,91.7,2.3,0.7,5.2,0.2,40.7,59.3
153,"Polk, Texas",48373,52826,9.5,79.9,9,0.9,5.1,1.4,15.5,84.5
154,"Milam, Texas",48331,52810,6.3,80.7,9.8,0.9,4.7,0.2,27.1,72.9
155,"Crockett, Texas",48105,52731,1.6,47.3,1.6,no data/suppressed,10.8,no data/suppressed,60.5,39.5
156,"Brazos, Texas",48041,52658,4.4,72.9,11.1,6,12.4,0.3,26.4,73.6
157,"Angelina, Texas",48005,52377,6.3,73.8,13.8,1,8.3,0.9,22.7,77.3
158,"Goliad, Texas",48175,52335,3.8,83.2,4.9,0.2,5.5,0.3,36.2,63.8
159,"Wheeler, Texas",48483,52138,3.8,86,1.8,0.3,9.1,0.1,25.6,74.4
160,"Runnels, Texas",48399,52103,2,84.2,2.7,0.1,4.5,0.6,35.1,64.9
161,"Young, Texas",48503,52074,3.3,91.6,1.3,0.2,7.7,0.6,19.4,80.6
162,"Henderson, Texas",48213,51963,6.3,85.4,5.9,0.7,4.8,0.3,13.6,86.4
163,"Val Verde, Texas",48465,51949,4.4,78.6,1.2,0.7,22.2,0.3,82.6,17.4
164,"Uvalde, Texas",48463,51602,5,84.4,1.1,1.1,11.6,0.6,72.3,27.7
165,"Lamar, Texas",48277,51561,3.3,78.6,13.4,0.8,3.6,0.9,8.4,91.6
166,"Aransas, Texas",48007,51509,8.2,86.8,0.2,1.4,4.1,1.2,28.6,71.4
167,"Camp, Texas",48063,50947,8.2,69.9,15.6,0.7,9.3,0.2,26.2,73.8
168,"El Paso, Texas",48141,50919,6.8,59.6,3.2,1.3,23.6,0.6,82.9,17.1
169,"Refugio, Texas",48391,50745,5.6,76.1,7,0.2,1.5,0.2,51.2,48.8
170,"Gray, Texas",48179,50635,5,80.1,5.1,1.4,9.6,1.9,30,70
171,"Navarro, Texas",48349,50466,5.1,69.4,11.2,2.2,13.2,0.2,28.8,71.2
172,"Knox, Texas",48275,50163,3.6,77,6.1,1.7,8.9,no data/suppressed,35.2,64.8
173,"Mitchell, Texas",48335,50144,2,78.2,6.6,no data/suppressed,2.6,0.7,40.7,59.3
174,"Lamb, Texas",48279,50041,3.1,80.6,3.4,0.9,10.2,0.5,56.5,43.5
175,"Kleberg, Texas",48273,49986,5.4,68.6,3.1,1.6,6.1,0.4,73.5,26.5
176,"Lynn, Texas",48305,49747,3.3,76.3,1,0.5,3.9,0.2,46.4,53.6
177,"Anderson, Texas",48001,49736,4,67.7,20.8,0.9,6,0.4,18.3,81.7
178,"Cass, Texas",48067,49626,8.8,77.5,17.3,0.7,2.6,0.2,5,95
179,"Deaf Smith, Texas",48117,49611,3.6,76.5,0.8,0.9,16.3,0.7,74.4,25.6
180,"Karnes, Texas",48255,49526,3.3,75.1,5.7,0.6,9.9,0.5,56.3,43.7
181,"Limestone, Texas",48293,49507,4.3,69.2,16.9,1.2,9.5,0.5,22.7,77.3
182,"Hockley, Texas",48219,49241,5.8,77.9,3.3,0.5,8.4,0.4,49.3,50.7
183,"Brown, Texas",48049,49232,5.2,84.1,3.6,0.6,4.1,0.4,23.1,76.9
184,"Tyler, Texas",48457,49130,16.2,83.6,10.3,0.6,3.4,0.1,8.3,91.7
185,"Bee, Texas",48025,48822,7.3,74.1,7.3,0.2,3.1,0.7,59.5,40.5
186,"Brewster, Texas",48043,48679,3.4,80.7,0.3,3.9,12.7,0.8,45.5,54.5
187,"Leon, Texas",48289,48676,6.3,84.8,6.2,1.2,5.5,0.4,15.3,84.7
