,Area,County,New Case Rate,Case Count,Population,Death Rate,Death Count
0,Texas,Kenedy County,Data not presented,Data not presented,Data not presented,Data not presented,Data not presented
1,Texas,King County,Data not presented,Data not presented,Data not presented,Data not presented,Data not presented
172,Texas,Washington County,405.1,1050,176374,138.3,391
173,Texas,Atascosa County,379.3,1067,250972,140.8,397
174,Texas,Maverick County,398.8,1067,290489,143.6,376
175,Texas,Waller County,435.5,1110,268129,153.6,382
176,Texas,Wharton County,424.7,1111,208359,164.1,444
177,Texas,Hopkins County,468,1111,183542,162.9,404
178,Texas,Fannin County,473.7,1118,175232,169,419
179,Texas,Starr County,392.9,1119,320161,133.6,380
180,Texas,Brown County,441.3,1160,189025,167.3,467
181,Texas,Jasper County,479.7,1176,177810,170.4,430
182,Texas,Kendall County,380.5,1183,227456,118.9,377
183,Texas,Hill County,465.4,1202,180543,187,500
184,Texas,Wilson County,394.3,1210,250551,142.9,443
185,Texas,Medina County,387.3,1236,254343,136.7,439
186,Texas,Cooke County,482.3,1294,202138,163.9,455
187,Texas,Upshur County,469.6,1299,206931,175.2,495
188,Texas,Nacogdoches County,375,1329,325401,158,574
189,Texas,Navarro County,435.8,1355,247375,177.8,556
190,Texas,Anderson County,428.2,1443,289586,225.5,768
191,Texas,Rusk County,435,1481,269940,166.7,566
192,Texas,Coryell County,479,1544,377881,184.4,559
193,Texas,Burnet County,437.8,1555,237738,148.5,558
194,Texas,Cherokee County,477.4,1577,261704,159.8,545
195,Texas,Lamar County,472.1,1594,248523,181.3,628
196,Texas,Hardin County,450.2,1604,286780,164.9,598
197,Texas,San Patricio County,440.9,1657,334847,171,642
198,Texas,Wood County,456.4,1806,225269,162.2,651
199,Texas,Van Zandt County,467,1869,279850,172.3,707
200,Texas,Wise County,461.4,1869,339421,182.9,720
201,Texas,Kerr County,423,1875,260975,151,761
202,Texas,Harrison County,461,1940,332736,153.1,664
203,Texas,Walker County,519,2033,361476,139.9,523
204,Texas,Polk County,633.6,2123,250774,236.3,742
205,Texas,Liberty County,464.4,2140,430863,194.5,854
206,Texas,Rockwall County,411.6,2166,505877,140.2,688
207,Texas,Hood County,459.5,2249,300127,148.1,772
208,Texas,Bastrop County,453.6,2328,434194,161.1,809
209,Texas,Orange County,465.5,2371,418879,184,955
210,Texas,Angelina County,454.1,2408,435595,159.6,852
211,Texas,Victoria County,449.8,2411,460220,156.3,853
212,Texas,Bowie County,430.2,2500,468108,174.6,1035
213,Texas,Hunt County,439.6,2600,481011,175.1,1041
214,Texas,Midland County,368.3,2837,856189,144.6,1079
215,Texas,Potter County,470,2849,591614,181.5,1086
216,Texas,Ector County,434.6,2997,810335,173.4,1130
217,Texas,Kaufman County,464.3,3005,648962,178.4,1107
218,Texas,Henderson County,487.3,3017,409844,173.1,1114
219,Texas,Tom Green County,451.2,3042,593225,155.7,1082
220,Texas,Randall County,430.2,3323,680027,140,1086
221,Texas,Taylor County,451.2,3325,687605,168,1286
222,Texas,Brazos County,384.3,3333,1131850,125.8,1046
223,Texas,Wichita County,472.2,3501,660772,184.5,1402
224,Texas,Gregg County,492.8,3521,618167,170.9,1247
225,Texas,Guadalupe County,403.5,3638,815151,147.3,1289
226,Texas,Webb County,331.8,3723,1374233,126,1351
227,Texas,Comal County,393.3,3890,744606,139.6,1383
228,Texas,Grayson County,457,3973,667635,173,1539
229,Texas,Parker County,498.4,4154,692233,164.2,1344
230,Texas,Ellis County,451.8,4271,897420,159.8,1444
231,Texas,Hays County,423.9,4323,1114137,140.8,1315
232,Texas,Johnson County,470,4488,856796,171.8,1611
233,Texas,Jefferson County,420.9,6081,1265682,154.7,2266
234,Texas,McLennan County,441.7,6109,1270225,155.2,2195
235,Texas,Lubbock County,429.4,6445,1541958,153.7,2316
236,Texas,Smith County,464,6473,1150922,145.9,2086
237,Texas,Cameron County,357,7638,2110675,117.3,2544
238,Texas,Bell County,480.2,7675,1778502,161.3,2487
239,Texas,Nueces County,380.9,7705,1810753,138.2,2815
240,Texas,Brazoria County,422.5,7835,1840309,156.6,2739
241,Texas,Galveston County,436.6,8482,1687998,171.2,3244
242,Texas,Williamson County,439.4,12524,2852187,128.9,3426
243,Texas,Montgomery County,402.5,12733,2950941,143.4,4367
244,Texas,Hidalgo County,344,13062,4305684,111.8,4204
245,Texas,Fort Bend County,377.1,14541,3954459,116.3,4032
246,Texas,El Paso County,399.7,16384,4184576,131.6,5351
247,Texas,Denton County,412.6,16504,4308452,123.5,4424
248,Texas,Collin County,399,19367,5030190,118.8,5223
249,Texas,Travis County,405.4,22570,6254419,120.8,6025
250,Texas,Bexar County,389.6,37922,9894132,142,13428
251,Texas,Tarrant County,430,43462,10385766,149.2,14283
252,Texas,Dallas County,417.1,51162,13113168,146.3,16934
253,Texas,Harris County,393.9,84936,23403043,139.4,28052
